title,link,salary,company,area,update_time,exp_title,education,com_type
Looking for ESL Teachers,http://www.jobleadchina.com/job/4378,15K/MTH - 30K/MTH,Foreign Teachers of English,Guangzhou,"Post time: August 13, 2019",Experience: Executive,Any education,School
Science course part-time Teacher ,http://www.jobleadchina.com/job/4284,2K/MTH - 4K/MTH,DragonShow,Beijing,"Post time: August 13, 2019",Experience: Entry Level,Any education,Teaching Center
Robot Wonder part-time teacher,http://www.jobleadchina.com/job/4283,2K/MTH - 4K/MTH,DragonShow,Beijing,"Post time: August 13, 2019",Experience: Entry Level,Any education,Teaching Center
Children English Drama Part-time teacher,http://www.jobleadchina.com/job/4282,2K/MTH - 4K/MTH,DragonShow,Beijing,"Post time: August 13, 2019",Experience: Entry Level,Any education,Teaching Center
Astronomy Exploration part-time teacher,http://www.jobleadchina.com/job/4281,2K/MTH - 4K/MTH,DragonShow,Beijing,"Post time: August 13, 2019",Experience: Entry Level,Any education,Teaching Center
International schools' courses part-time teacher  ,http://www.jobleadchina.com/job/4270,2K/MTH - 4K/MTH,DragonShow,Beijing,"Post time: August 13, 2019",Experience: Entry Level,Any education,Teaching Center
Children Public speaking part-time teacher,http://www.jobleadchina.com/job/4292,2K/MTH - 4K/MTH,DragonShow,Beijing,"Post time: August 13, 2019",Experience: Entry Level,Any education,Teaching Center
Kid Sensory Bin Game part-time teacher,http://www.jobleadchina.com/job/4291,2K/MTH - 4K/MTH,DragonShow,Beijing,"Post time: August 13, 2019",Experience: Entry Level,Any education,Teaching Center
Model World Part-time teacher,http://www.jobleadchina.com/job/4287,2K/MTH - 4K/MTH,DragonShow,Beijing,"Post time: August 13, 2019",Experience: Entry Level,Any education,Teaching Center
Kids Detective course part-time teacher,http://www.jobleadchina.com/job/4286,2K/MTH - 4K/MTH,DragonShow,Beijing,"Post time: August 13, 2019",Experience: Entry Level,Any education,Teaching Center
Super Engineer part-time Teacher ,http://www.jobleadchina.com/job/4285,2K/MTH - 4K/MTH,DragonShow,Beijing,"Post time: August 13, 2019",Experience: Entry Level,Any education,Teaching Center
ESL Teacher in China,http://www.jobleadchina.com/job/4380,15K/MTH - 25K/MTH,English house,Ningbo,"Post time: August 13, 2019",Experience: Internship,Bachelor,Others
Hire Now. 10k-25k English or French PE Teacher in ,http://www.jobleadchina.com/job/4376,10000K/MTH - 25000K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: August 13, 2019",Experience: Entry Level,Bachelor,Others
Teaching and travelling in China,http://www.jobleadchina.com/job/1228,20K/MTH - 25K/MTH,ESL recruiting team,Shanghai,"Post time: August 13, 2019",Experience: Entry Level,Any education,Teaching Center
Hiring English Teachers with High Salaries to Chin,http://www.jobleadchina.com/job/4374,15K/MTH - 30K/MTH,Foreign Teachers of English,Hangzhou,"Post time: August 12, 2019",Experience: Executive,Any education,School
Foreign English teacher ,http://www.jobleadchina.com/job/4375,15K/MTH - 25K/MTH,Silk-Road Talents Education Company ,Beijing,"Post time: August 12, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
Hire Now. 10k-25k English or French PE Teacher in ,http://www.jobleadchina.com/job/4373,10000K/MTH - 25000K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: August 12, 2019",Experience: Entry Level,Bachelor,Others
English Teacher Wanted,http://www.jobleadchina.com/job/4372,8K/MTH - 18K/MTH,ESL JOB IN CHINA,Nanjing,"Post time: August 11, 2019",Experience: Entry Level,Bachelor,Teaching Center
"Teach English in China, up to 20,000 RMB per month",http://www.jobleadchina.com/job/4371,20K/MTH - 25K/MTH,chinajobstreet,Others,"Post time: August 11, 2019",Experience: Executive,Bachelor,Consultancy/Legal/Admin
"If you want to be an English teacher, come to me.",http://www.jobleadchina.com/job/4369,15K/MTH - 30K/MTH,Foreign Teachers of English,Nanjing,"Post time: August 09, 2019",Experience: Executive,Any education,School
ESL Teacher in China,http://www.jobleadchina.com/job/4368,20K/MTH - 25K/MTH,English house,Wuhan,"Post time: August 09, 2019",Experience: Internship,Bachelor,Others
"Guangzhou vocational University , ESL teacher",http://www.jobleadchina.com/job/4367,13K/MTH - 16K/MTH,Beijing risunhongwen International Culture Exchang,Guangzhou,"Post time: August 09, 2019",Experience: Entry Level,Bachelor,Others
"Guangzhou vocational University , ESL teacher",http://www.jobleadchina.com/job/4366,13K/MTH - 16K/MTH,Beijing risunhongwen International Culture Exchang,Guangzhou,"Post time: August 08, 2019",Experience: Entry Level,Bachelor,Others
"Guangzhou vocational University , ESL teacher",http://www.jobleadchina.com/job/4365,13K/MTH - 16K/MTH,Beijing risunhongwen International Culture Exchang,Guangzhou,"Post time: August 08, 2019",Experience: Entry Level,Bachelor,Others
Hire Now. 10k-25k English or French PE Teacher in ,http://www.jobleadchina.com/job/4364,10000K/MTH - 25000K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: August 08, 2019",Experience: Associate,Bachelor,Others
Looking for ESL Teachers,http://www.jobleadchina.com/job/4363,15K/MTH - 30K/MTH,Foreign Teachers of English,Shanghai,"Post time: August 08, 2019",Experience: Executive,Any education,School
Teach English in China,http://www.jobleadchina.com/job/4359,20K/MTH - 25K/MTH,English house,Qingdao,"Post time: August 07, 2019",Experience: Internship,Bachelor,Others
Professional Matching for Senior English Teachers,http://www.jobleadchina.com/job/4358,13K/MTH - 25K/MTH,Foreign Teachers of English,Wuhan,"Post time: August 07, 2019",Experience: Executive,Any education,School
15K-30K for qualified English teachers needed in C,http://www.jobleadchina.com/job/4355,15K/MTH - 30K/MTH,English house,Ningbo,"Post time: August 06, 2019",Experience: Internship,Bachelor,Others
Teachers seeking innovation and dedication join us,http://www.jobleadchina.com/job/4354,13K/MTH - 28K/MTH,Foreign Teachers of English,Wuhan,"Post time: August 06, 2019",Experience: Executive,Any education,School
"Teach English in China, up to 20,000 RMB per month",http://www.jobleadchina.com/job/4353,15K/MTH - 25K/MTH,chinajobstreet,Dalian,"Post time: August 05, 2019",Experience: Executive,Any education,Consultancy/Legal/Admin
Looking for a responsible senior English teacher,http://www.jobleadchina.com/job/4348,18K/MTH - 30K/MTH,Foreign Teachers of English,Guangzhou,"Post time: August 05, 2019",Experience: Executive,Any education,School
8 Native English-speaking teachers Wanted in Cheng,http://www.jobleadchina.com/job/4351,12K/MTH - 30K/MTH,Foreign Teachers of English,Chengdu,"Post time: August 05, 2019",Experience: Executive,Any education,School
Kids English teacher,http://www.jobleadchina.com/job/4350,13K/MTH - 18K/MTH,Imagine English Group,Wuhan,"Post time: August 05, 2019",Experience: Entry Level,Bachelor,School
ENGLISH TEACHER,http://www.jobleadchina.com/job/4169,16K/MTH - 20K/MTH,FONSHIN SCHOOL,Shanghai,"Post time: August 05, 2019",Experience: Mid-Senior Level,Any education,School
Looking for ESL Teachers,http://www.jobleadchina.com/job/4349,18K/MTH - 30K/MTH,Foreign Teachers of English,Nanjing,"Post time: August 05, 2019",Experience: Executive,Any education,School
"part-time job in jiuting,SH",http://www.jobleadchina.com/job/4344,20K/MTH - 25K/MTH,SBK,Shanghai,"Post time: August 02, 2019",Experience: Entry Level,Bachelor,Teaching Center
Teach English in China,http://www.jobleadchina.com/job/4343,15K/MTH - 30K/MTH,English house,Chongqing,"Post time: August 02, 2019",Experience: Internship,Bachelor,Others
Looking for English Teachers with High Quality and,http://www.jobleadchina.com/job/4342,20K/MTH - 40K/MTH,Foreign Teachers of English,Chengdu,"Post time: August 02, 2019",Experience: Executive,Any education,School
Hire Now. 10k-25k English or French PE Teacher in ,http://www.jobleadchina.com/job/4341,10K/MTH - 25K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: August 02, 2019",Experience: Entry Level,Bachelor,Others
Foreign teacher,http://www.jobleadchina.com/job/4261,12K/MTH - 25K/MTH,Foreign Teacher,Beijing,"Post time: August 01, 2019",Experience: Associate,Bachelor,School
Foreign Teacher,http://www.jobleadchina.com/job/4340,12K/MTH - 25K/MTH,Foreign Teacher,Beijing,"Post time: August 01, 2019",Experience: Associate,Bachelor,School
Hire Now. 12k-25k English or French PE Teacher in ,http://www.jobleadchina.com/job/4339,10K/MTH - 25K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: August 01, 2019",Experience: Entry Level,Bachelor,Others
AP literature and history teacher,http://www.jobleadchina.com/job/4338,20K/MTH - 40K/MTH,Sendelta Education,Shenzhen,"Post time: August 01, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
15K-30K for qualified English teachers needed in C,http://www.jobleadchina.com/job/4337,15K/MTH - 30K/MTH,English house,Guangzhou,"Post time: August 01, 2019",Experience: Entry Level,Bachelor,Others
English Teacher Wanted,http://www.jobleadchina.com/job/4336,8K/MTH - 18K/MTH,ESL JOB IN CHINA,Beijing,"Post time: August 01, 2019",Experience: Entry Level,Bachelor,Teaching Center
Advanced English Foreign Teachers,http://www.jobleadchina.com/job/4335,20K/MTH - 30K/MTH,Foreign Teachers of English,Beijing,"Post time: August 01, 2019",Experience: Executive,Any education,School
Foreign Teachers of English,http://www.jobleadchina.com/job/4334,15K/MTH - 30K/MTH,Foreign Teachers of English,Hangzhou,"Post time: July 31, 2019",Experience: Executive,Any education,School
Teach English in China,http://www.jobleadchina.com/job/4333,15K/MTH - 30K/MTH,English house,Nanjing,"Post time: July 31, 2019",Experience: Entry Level,Bachelor,Others
Hire Now. 10k-25k English or French PE Teacher in ,http://www.jobleadchina.com/job/4332,10K/MTH - 25K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: July 30, 2019",Experience: Entry Level,Bachelor,Others
Foreign Teacher,http://www.jobleadchina.com/job/4331,16K/MTH - 17K/MTH,51JOB,Others,"Post time: July 30, 2019",Experience: Entry Level,Bachelor,Others
English teacher,http://www.jobleadchina.com/job/4330,18K/MTH - 25K/MTH,i2,Others,"Post time: July 30, 2019",Experience: Entry Level,Bachelor,School
ESL teacher for a public school in China,http://www.jobleadchina.com/job/4329,15K/MTH - 30K/MTH,English house,Shanghai,"Post time: July 30, 2019",Experience: Mid-Senior Level,Bachelor,Others
English  Teacher needed in Qingdao,http://www.jobleadchina.com/job/4328,10K/MTH - 20K/MTH,Qingchengzhiya,Qingdao,"Post time: July 30, 2019",Experience: Entry Level,Bachelor,Teaching Center
Hire Now. 10k-25k English or French PE Teacher in ,http://www.jobleadchina.com/job/4327,10K/MTH - 25K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: July 30, 2019",Experience: Entry Level,Bachelor,Others
Foreign Teacher,http://www.jobleadchina.com/job/4326,16000K/MTH - 17000K/MTH,51JOB,Others,"Post time: July 29, 2019",Experience: Entry Level,Bachelor,Others
Foreign Teacher,http://www.jobleadchina.com/job/4325,16000K/MTH - 17000K/MTH,51JOB,Others,"Post time: July 29, 2019",Experience: Entry Level,Bachelor,Others
Hire Now. 12k-25k English or French PE Teacher in ,http://www.jobleadchina.com/job/4324,10K/MTH - 25K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: July 29, 2019",Experience: Entry Level,Bachelor,Others
ESL/EFL Teacher,http://www.jobleadchina.com/job/4323,18K/MTH - 21K/MTH,Vermont International Academy Guangzhou Campus,Guangzhou,"Post time: July 29, 2019",Experience: Entry Level,Bachelor,School
Senior English Teacher ,http://www.jobleadchina.com/job/4322,15000K/MTH - 18000K/MTH,King's English,Tianjin,"Post time: July 27, 2019",Experience: Entry Level,Bachelor,School
