城市,区域,公司全名,公司简称,公司规模,融资阶段,职位名称,工资,工作经验,学历要求,职位福利,行业,发布时间
北京,朝阳区,致美纷享（北京）科技有限公司,Plum,150-500人,B轮,数据分析师,15k-20k,1-3年,本科,技术氛围好 职位空间大 成长快,"电商,消费生活",2019/8/14 14:03
北京,朝阳区,北京臻澄网络科技有限公司,冲顶,50-150人,C轮,数据分析师,20k-40k,3-5年,本科,免费中晚餐 地铁周边,移动互联网,2019/8/14 16:42
北京,朝阳区,便利蜂商贸有限公司,便利蜂,2000人以上,不需要融资,数据分析师/高级数据分析师,20k-40k,3-5年,本科,弹性工作制，带薪年假，大牛带队,消费生活,2019/8/14 10:16
北京,朝阳区,玖富数科科技集团有限责任公司,玖富数科集团,2000人以上,D轮及以上,数据分析经理（金融） (MJ000099),15k-25k,5-10年,本科,发展空间 奖金 核岗位心,金融,2019/8/14 18:31
北京,朝阳区,北京小步大成科技有限公司,小步在家早教,150-500人,A轮,数据分析工程师,15k-25k,3-5年,本科,六险一金、年终15薪 、每月团建、,"移动互联网,教育",2019/8/14 15:10
北京,朝阳区,北京瓴岳信息技术有限公司,洋钱罐,150-500人,不需要融资,数据分析工程师,15k-30k,1-3年,本科,十四薪；午餐晚餐；六险一金；地铁周边；,"移动互联网,金融",2019/8/14 10:25
北京,朝阳区,深圳雾芯科技有限公司,RELX悦刻,50-150人,B轮,数据分析专家,20k-40k,3-5年,本科,红杉、IDG投资的B轮电子烟头部创业公司,"电商,人工智能",2019/8/12 15:12
北京,朝阳区,北京易梦缘科技有限公司,易梦缘,50-150人,不需要融资,数据分析经理,20k-30k,5-10年,本科,五险一金，公司前景好，团队团结友爱,"电商,移动互联网",2019/8/13 16:24
北京,朝阳区,北京云杉世界信息技术有限公司,美菜网,2000人以上,D轮及以上,数据分析经理,15k-25k,1-3年,本科,发展前景、双休、五险一金,电商,2019/8/14 15:11
北京,朝阳区,车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,D轮及以上,业务数据分析,20k-30k,5-10年,本科,平台大，职位晋升空间大,消费生活,2019/8/14 14:30
北京,朝阳区,北京猫眼文化传媒有限公司,猫眼电影,500-2000人,未融资,数据分析,15k-30k,3-5年,不限,六险一金,文娱丨内容,2019/8/14 18:27
北京,朝阳区,一点网聚科技有限公司,一点资讯,500-2000人,D轮及以上,数据分析师,20k-40k,3-5年,本科,"七险一金,福利待遇好,带薪年假,年终奖金",文娱丨内容,2019/8/13 13:44
北京,朝阳区,北京安与极信息技术有限公司,AnG,500-2000人,不需要融资,商业数据分析师,20k-30k,3-5年,大专,带薪年假，五险一金，优质团队，,"广告营销,移动互联网",2019/8/14 17:12
北京,朝阳区,北京易观智库网络科技有限公司,易观,150-500人,B轮,数据分析师实习生,2k-3k,应届毕业生,不限,弹性工作,"移动互联网,数据服务",2019/8/12 16:22
北京,朝阳区,车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,D轮及以上,数据分析师（数据策略方向）,15k-30k,3-5年,本科,"股票期权,独角兽,领导好,团队好",消费生活,2019/8/14 19:49
